Location|Address|City|Hours|Phone Number|Eligibility|Limitations|Link
||Omaha|||visit covidomaha.com and fill out questionnaire; must have PCP referral before coming in-person||https://www.usnews.com/news/best-states/nebraska/articles/2020-03-28/covid-19-drive-thru-testing-clinic-opens-in-omaha
Bryan Health - Lifepoint Clinic|7501 S 27th St.|Lincoln|2p-6p every day|402-481-0500|doctoru2019s referral||https://www.ketv.com/article/where-you-can-get-tested-for-covid-19-in-nebraska/31946796
Pease International Tradeport|100 New Hampshire Ave|Portsmouth|||pre-screening + referral||https://www.wmur.com/article/drive-thru-covid-19-testing-center-opens-in-portsmouth/32020600#
National Guard Armory|1059 Canal St, Manchester, NH 03101|Manchester|||doctoru2019s referral||https://www.unionleader.com/news/health/coronavirus/mobile-test-site-open-besieged-in-manchester/article_6c059ee3-1f70-55b5-89a9-77025065d5be.html
Keady Family Practic|214 Washington Street|Claremont||603-863-7777|||https://www.wmur.com/article/team-of-medical-volunteers-performs-mobile-testing-for-covid-19/31266075
William Paterson College|300 Pompton Rd|Wayne|9-12||||https://www.northjersey.com/story/news/coronavirus/2020/03/25/nj-coronavirus-william-paterson-testing-center-opens-passaic-county/2908610001/
Bergen Community College|400 Paramus Rd|Paramus|8-4|(800)-222-1222 |referral||https://covid19.nj.gov/locations?query=Testing+Centers+in+NJ&tabOrder=all%2CpromotedContent%2Clocations%2Cresources%2CNJfaqs%2CjobPostings%2CAASfaqs%2Ccoronavirus
Cooper's Poynt Park|801 Delaware Avenue |Camden|M-F 12-4, S-S 12-4||xf||https://www.njpen.com/camden-county-to-open-covid-19-test-site-april-1-at-coopers-poynt-park/
PNC Bank Arts Center|116 Garden State Pkwy|Holmdel|8 onwards||||https://covid19.nj.gov/locations?query=Testing+Centers+in+NJ&tabOrder=all%2CpromotedContent%2Clocations%2Cresources%2CNJfaqs%2CjobPostings%2CAASfaqs%2Ccoronavirus
Kean University|1000 Morris Ave|Union|||||https://covid19.nj.gov/locations?query=Testing+Centers+in+NJ&tabOrder=all%2CpromotedContent%2Clocations%2Cresources%2CNJfaqs%2CjobPostings%2CAASfaqs%2Ccoronavirus
Hudson Regional Hospital |55 Meadowlands Pkwy,|Secaucus||201-388-1097 ||appointment only|https://www.hudsonregionalhospital.com/2020/03/hudson-regional-hospital-begins-coronavirus-testing/
Riverside Medical Group - Secaucus|714 10th St|Secaucus|M-F 9-5, Sat 10-1|||Riverside Medical Group patients, appt only|https://njbiz.com/drive-thru-coronavirus-test-available-secaucus/
Riverside Medical Group - Medford|69 S Main St|Medford|M-F 9-5, Sat 10-2|||Riverside Medical Group patients, appt only|https://www.riversidemedgroup.com/riverside-prepared-for-covid-19/
Riverside Medical Group - Hoboken|1111 Hudson|Hoboken|M-F 9-5, Sat 10-3|||Riverside Medical Group patients, appt only|https://www.riversidemedgroup.com/riverside-prepared-for-covid-19/
Cooper University Health Care |210 Brace Rd|Cherry Hill ||800.826.6737||Cooper patients, appt only|https://www.cooperhealth.org/patients-visitors/coronavirus-covid-19-information/covid-19-testing
Morristown Medical Center|100 Madison Ave|Morristown||||Atlantic Health System patients, appt only|https://www.nj.com/coronavirus/2020/03/atlantic-health-system-opens-testing-site-in-morris-county.html
Old DPW complex|575 NJ-440|Jersey City|daily 9-5|201-547-5535 ||appt only|https://abc7ny.com/coronavirus-new-jersey-nj-testing-news/6053011/
Weequahic Park|Elizabeth Ave & Meeker Ave|Newark|varies|973-324-9950||100 test a day, appt only|https://www.nj.com/coronavirus/2020/03/appointment-only-coronavirus-testing-site-coming-to-essex-county.html
CompleteCare |Undisclosed location|Vineland||(856) 451-4700||patients of the CompleteCare Health Network, appt only|https://www.thedailyjournal.com/story/news/2020/03/30/nj-coronavirus-testing-drive-through-site-cumberland-county-vineland/5091853002/
County College of Morris, Parking Lot 1|Dover Chester Road|Randolph|9 onwards|||appointment only|https://covid19.nj.gov/search.html?query=Testing+Centers+in+NJ
Bergen New Bridge Medical Center|230 East Ridgewood Avenue|Paramus|8 onwards||first responders only|appointment only|https://www.newbridgehealth.org/bergen-covid19-screening/
Bergen Community College|400 Paramus Rd|Paramus|8-4|(800)-222-1222 |||https://covid19.nj.gov/locations?query=Testing+Centers+in+NJ&tabOrder=all%2CpromotedContent%2Clocations%2Cresources%2CNJfaqs%2CjobPostings%2CAASfaqs%2Ccoronavirus
PNC Bank Arts Center|116 Garden State Pkwy|Holmdel|8 onwards||||https://covid19.nj.gov/locations?query=Testing+Centers+in+NJ&tabOrder=all%2CpromotedContent%2Clocations%2Cresources%2CNJfaqs%2CjobPostings%2CAASfaqs%2Ccoronavirus
Burlington County Emergency Services Training Center|53 Academy Dr|Westampton|daily 1-5|609u2010726u20107097||appt only|https://www.ibx.com/htdocs/custom/covid19/pdfs/covid-19-testing-locations-ibx.pdf
Kean University|1000 Morris Ave|Union||||appointment only|https://covid19.nj.gov/locations?query=Testing+Centers+in+NJ&tabOrder=all%2CpromotedContent%2Clocations%2Cresources%2CNJfaqs%2CjobPostings%2CAASfaqs%2Ccoronavirus
Veterans Park|669 Avenue A|Bayonne|10-3:30||screening by CarePoint doctors||https://hudsonreporter.com/2020/03/25/bayonne-medical-center-starts-drive-thru-testing-for-covid-19-by-referral/
Alta Vista Regional|104 Legion Drive|Las Vegas|M-F 2-3|505-426-3615|referral||https://www.santafenewmexican.com/news/coronavirus/test-sites-ramping-up-around-new-mexico/article_09f6e0fa-6ded-11ea-a4d2-634e1c518b71.html
Presbyterian Espau00f1ola Hospital|1010 Spruce St|Espau00f1ola||505-753-7111|phone screen||https://www.santafenewmexican.com/news/coronavirus/test-sites-ramping-up-around-new-mexico/article_09f6e0fa-6ded-11ea-a4d2-634e1c518b71.html
Union County General Hospital|300 Wilson St|Clayton||575-374-2585|pre-screen - call||https://www.santafenewmexican.com/news/coronavirus/test-sites-ramping-up-around-new-mexico/article_09f6e0fa-6ded-11ea-a4d2-634e1c518b71.html
Presbyterian |Balloon Fiesta Park|Albuquerque|7-7|505-753-7111|visit https://pres.today/covid to get screened first||http://cvproviderportal.rtsclients.com/directory.html
PresNow|4515 Coors Blvd. NW|Albuquerque|9-6 every day||symptomatic||https://www.kob.com/coronavirus/long-line-forms-as-presbyterian-begins-drive-thru-covid-19-testing/5674723/
Lovelace||Albuquerque|7-7 every day||||https://www.kob.com/coronavirus/long-line-forms-as-presbyterian-begins-drive-thru-covid-19-testing/5674723/
Christus St. Vincent|5501 Herrera Drive|Santa Fe|8-5 M-F||referral||https://www.santafenewmexican.com/news/coronavirus/test-sites-ramping-up-around-new-mexico/article_09f6e0fa-6ded-11ea-a4d2-634e1c518b71.html
Presbyterian Santa Fe Medical Center|4800 Beckner Rd|Santa Fe|11 am until supplies out|(505) 772-1234|||https://www.santafenewmexican.com/news/coronavirus/test-sites-ramping-up-around-new-mexico/article_09f6e0fa-6ded-11ea-a4d2-634e1c518b71.html
Presbyterian - Memorial Medical Cente|2450 S Telshor Blvd|Las Cruces|||||
Nor-Lea General Hospital|126 Tatum Highway|Lovington|10-4|575-396-9090|phone screen||
Optum New Mexico||Albuquerque|||appts only||
San Juan Regional Medical Center|400 W. Maple St.|Farmington||505-516-0938|||https://www.santafenewmexican.com/news/coronavirus/test-sites-ramping-up-around-new-mexico/article_09f6e0fa-6ded-11ea-a4d2-634e1c518b71.html
NMDOH|2669 N Scenic Dr,|Alamogordo|5-5|575-443-7505|call for details||
Craig Convenient Care|4090 W. Craig Road|Las Vegas|M-F 8-5; Sa 10-6|702-877-5199|call for pre-screening||https://www.reviewjournal.com/local/local-las-vegas/las-vegas-urgent-care-stops-drive-through-coronavirus-testing-1986895/
Sahara West Urgent Care|||||Referral from primary doctor|Appt only, About 300 test kits left|https://www.fox5vegas.com/coronavirus/drive-thru-covid--testing-halted-staff-overwhelmed-in-las/article_5aae8078-6a3e-11ea-a597-5b88fd5f3b29.html
Flamingo Healthcare Center|5580 W. Flamingo Road|Las Vegas|M-F 8-5|702-877-5199|call for pre-screening||https://www.reviewjournal.com/local/local-las-vegas/las-vegas-urgent-care-stops-drive-through-coronavirus-testing-1986895/
Lake Mead Convenient Care|310 W. Lake Mead Parkway|Henderson|M-F 8-5|702-877-5199|call for pre-screening||https://www.reviewjournal.com/local/local-las-vegas/las-vegas-urgent-care-stops-drive-through-coronavirus-testing-1986895/
UNLV Medicine|1125 Shadow Lane|Las Vegas|8:30am - 3:00pm M-F|702-583-4408||Appt only|
Serenity Mental Health|755 N. Roop St Ste. 101|Carson City|||Fill out questionaire to COVID19@serenitymentalhealth.org|1 test per car|https://www.serenitymentalhealth.org/
Aqueduct Racetrack|110-00 Rockaway Blvd|Queens||883-SOMOSNY|||https://qns.com/story/2020/03/23/with-live-racing-suspended-aqueduct-racetracks-parking-lot-hosts-coronavirus-testing-site/
South Beach Psychiatric Center parking lot|777 Seaview Ave|Staten Island|11-7|888-364-3065||Appt only|https://www.silive.com/news/2020/03/1st-in-nyc-drive-through-testing-for-coronavirus-in-ocean-breeze-politician-says.html
Anthony Wayne Recreation Area|Palisades Interstate Pkwy|Bear Mountain|7-7|888-364-3065||Appt only|https://www.lohud.com/story/news/health/2020/03/18/coronavirus-drive-thru-testing-center-opens-rockland/2864688001/
Central Crossing Shopping Center|175 NY-59|Spring Valley||845-271-6300 ||Appt only|http://westchester.news12.com/story/41908571/rockland-county-to-open-drivethrough-testing-center
Jones Beach at Teddy Roosevelt||Wantagh|8-8|||appt only|https://www.newsday.com/news/health/virus-test-sites-1.43250642
Glen Island Park|Weyman Ave|New Rochelle||(888) 364-3065|||https://www.nydailynews.com/coronavirus/ny-coronavirus-cuomo-mobile-testing-20200313-x6b6n2shdfgqrjn5qlttv65auu-story.html
Rochester General Hospital|1425 Portland Ave|Rochester||(585) 753-5555|||https://www.democratandchronicle.com/story/news/2020/03/16/coronavirus-first-local-testing-includes-drive-through-site/5059051002/
Stony Brook Universityu2019s South P Lot ||Stony Brook|m-sun 7-7|888-364-3065||appt only|https://news.stonybrook.edu/sb_medicine/new-york-state-partners-with-sbu-to-start-coronavirus-testing-at-university/
ProHEALTH Urgent Care of Little Neck|254-61 Nassau Blvd |Queens|M-F 8-8, S-S 8-5|516-874-0411||ProHEALTH patients only, by appt|https://longislandweekly.com/prohealth-launches-drive-thru-testing-for-coronavirus/
ProHEALTH Urgent Care of Jericho |555 N Broadway Jericho|Jericho|M-F 8-8, S-S 8-6|516-874-0411||ProHEALTH patients only, by appt|https://longislandweekly.com/prohealth-launches-drive-thru-testing-for-coronavirus/
Intermodal Center at Dutchess Stadium|1500 NY-9D|Wappingers Falls|M-Sat 8:30-3:30||||https://patients.healthquest.org/novel-coronavirus-covid-19-update-2/covid-19-collection-site-information/
Tech City |300 Enterprise Drive|Kingston|M-Sat 8:30-3:30||||https://patients.healthquest.org/novel-coronavirus-covid-19-update-2/covid-19-collection-site-information/
Silver Star Urgent Care|625 Rockaway Turnpike|Lawrence||(516) 871-3003|||https://silverstarurgentcare.com
UH Landerbrook Health Center|5850 Landerbook Dr||||||
Cleveland Clinic - Main campus|9500 Euclid Ave|Cleveland|||||
Premier Health|1801 Edwin C. Moses Blvd.|Dayton|10 a.m. to 6 p.m.||||https://www.premierhealth.com/news-and-events/news/2020/03/16/premier-health-university-of-dayton-to-set-up-covid-19-collection-site
UC Health Center|3120 Burnet Ave|Cincinnati||513-418-4787||Appt only|https://www.fox19.com/2020/03/17/mobile-covid-testing-sites-open-cincinnati-dayton/
UH Landerbrook Health Center|5850 Landerbrook Dr.|Mayfield Heights|||||https://www.uhhospitals.org/locations/uh-landerbrook-health-center
Kay County Health Department|433 Fairview Ave|Ponca City||580-762-1641||Appt only|https://www.koco.com/article/what-you-need-to-know-about-drive-thru-coronavirus-testing-sites-in-oklahoma/31980168#
Pittsburg County Health Department|1400 E College Ave|McAlester||918-423-1267||Appt only|https://www.koco.com/article/what-you-need-to-know-about-drive-thru-coronavirus-testing-sites-in-oklahoma/31980168#
Tulsa Health Department||||918-582-9355||Appt only|https://www.koco.com/article/what-you-need-to-know-about-drive-thru-coronavirus-testing-sites-in-oklahoma/31980168#
Samaritan Lebanon Community Hospital|525 N Santiam Hwy SE|Lebanon|||||
Oregon Health and Science University||Hillsboro|||OHSU staff and patients only||
Virginia Garcia Memorial|226 SE 8th Ave|Hillsboro|MWF, appt only||Virgina Garcia patients only||
Providence Medical Center|4805 NE Glisan St|Portland|||||
One Medical|3138 N Vancouver Ave|Portland||1-888-ONEMED1|appt only||https://www.onemedical.com/blog/live-well/covid-19-testing-one-medical
Abington Memorial Hospital|1200 Old York Rd|Abington|||||
Doylestown Health|595 W. State Street|Doylestown|M-F 8-noon|(267-885-1722)||appt required|https://www.doylestownhealth.org/about/news/health-news-and-blog/information-on-coronavirus-covid-19
Abington Memorial Hospital - Rosenfeld Cancer Center Parking Lot|1200 Old York Road|Abington|daily 8-4:30|215u2010344u20108422||appt required|https://www.ibx.com/htdocs/custom/covid19/pdfs/covid-19-testing-locations-ibx.pdf
Jefferson Center City|945 Sansom Street|Philadelphia|M-F 8-5|215u2010327u2010 7837||appt required|https://www.ibx.com/htdocs/custom/covid19/pdfs/covid-19-testing-locations-ibx.pdf
Jefferson Northeast - Jefferson Urgent Care Parking Lot |2966 Street Road|Bensalem|daily 8-4:30|215u2010710u20103704||appt required|https://www.ibx.com/htdocs/custom/covid19/pdfs/covid-19-testing-locations-ibx.pdf
Main Line Health - Newtown Square|3855 West Chester Pike|Newtown Square|daily 9-4|866.225.5654||Main Line Health System or Nemours patients only|https://www.ibx.com/htdocs/custom/covid19/pdfs/covid-19-testing-locations-ibx.pdf
Main Line Health - Radnor|240 North Radnor Chester Road|Radnor|daily 9-4|866.225.5654||Main Line Health System or Nemours patients only|https://www.inquirer.com/health/coronavirus/coronavirus-penn-medicine-drive-through-testing-confusion-20200316.html
Mercy Catholic Medical Center (MCMC) u2013 Mercy Philadelphia|501 S. 54th Street|Philadelphia|M-F 11-3|||screening required|https://www.ibx.com/htdocs/custom/covid19/pdfs/covid-19-testing-locations-ibx.pdf
Penn Medicine |201 King of Prussia Road - north parking lot|Radnor|M-F 10-5|267u2010414u20102303||appt only|https://www.ibx.com/htdocs/custom/covid19/pdfs/covid-19-testing-locations-ibx.pdf
Penn Medicine|4122 Market Street Parking Lot|West Philadelphia|M-F 100-5|267u2010414u20102303||appt only|https://www.ibx.com/htdocs/custom/covid19/pdfs/covid-19-testing-locations-ibx.pdf
Citizens Bank Park|1 Citizens Bank Way|Philadelphia|daily 2-6|215-685-1803|high risk||https://6abc.com/philadelphia-coronavirus-covid-19-sports-complex-testing/6031085/
Crozer-Chester Medical Center|1 Medical Center Blvd.|Upland||610-447-6730||Crozer-Keystone patients only|https://www.inquirer.com/health/coronavirus/coronavirus-testing-sites-philadelphia-main-line-south-jersey-insurance-20200324.html
PM Pediatrics Urgent Care|101 E. Swedesford Rd|Wayne||516.869.0650|age 0-26||https://pmpediatrics.com/coronavirus-covid-19-frequently-asked-questions/
Genesis Diagnostic|900 Town Center Dr|Langhorne|M-Sat 9-6|||appt only|https://6abc.com/6045920/
Jefferson Bucks Hospital|380 N Oxford Valley Rd|Langhorne|M-F 8-5||||https://6abc.com/6045920/
Jefferson Frankford Hospital|4900 Frankford Ave|Philadelphia|M-F 8-5||||https://6abc.com/6045920/
Jefferson Torresdale Hospital|10800 Knights Rd|Philadelphia|M-F 8-5||||https://6abc.com/6045920/
Pennsylvania College of Health Sciences|850 Greenfield Road|Lancaster|M-F 9-6; S-S 9-2||referral||https://www.lancastergeneralhealth.org/coronavirus/coronavirus-testing-sites
Rhode Island College|600 Mt Pleasant Ave|Providence|daily 9-3|855-840-4774||appt required|https://turnto10.com/news/local/appointment-only-mobile-testing-sites-opening-at-ris-public-colleges
Community College of Rhode Island|400 East Ave, Warwick, RI 02886|Warwick|daily 9-3|855-840-4775||appt required|https://turnto10.com/news/local/appointment-only-mobile-testing-sites-opening-at-ris-public-colleges
University of Rhode Island|45 Upper College Rd|Kingston|daily 9-3|855-840-4776||appt required|https://turnto10.com/news/local/appointment-only-mobile-testing-sites-opening-at-ris-public-colleges
AnMed Health Oglesby Center A|2000 East Greenville St|Anderson|MF 9 a.m. - 3:30 p.m.|||Appointment Only|https://scha.org/news/hospitals-creating-drive-thru-specimen-collection-sites-to-combat-coronavirus/
Beaufort Memorial Medical and Administrative Center|990 Ribaut Rd.|Beaufort|M-F 8 a.m. to 8 p.m. S 8 a.m. to 5 p.m.|||Appointment Only|https://www.islandpacket.com/news/local/article241168611.html
Citadel Mall campus|2070 Sam Rittenberg Blvd, Charleston, SC 29407|Charleston||||Appointment Only|https://scha.org/news/hospitals-creating-drive-thru-specimen-collection-sites-to-combat-coronavirus/
McLeod Health|711 Chesterfield Highway|Cheraw||||Appointment Only|https://scha.org/news/hospitals-creating-drive-thru-specimen-collection-sites-to-combat-coronavirus/
McLeod Health|10 East Hospital St.|Clarendon||||Appointment Only|https://scha.org/news/hospitals-creating-drive-thru-specimen-collection-sites-to-combat-coronavirus/
Prisma Health Richland Hospital|5 Richland Medical Park Dr.|Columbia|9 a.m. to 5 p.m.|||Appointment Only|https://scha.org/news/hospitals-creating-drive-thru-specimen-collection-sites-to-combat-coronavirus/
McLeod Health|301 East Jackson St.|Dillon||||Appointment Only|https://scha.org/news/hospitals-creating-drive-thru-specimen-collection-sites-to-combat-coronavirus/
Doctors Care urgent care|2200 South Irby St.|Florence||||Appointment Only|https://www.wmbfnews.com/2020/03/17/musc-florence-sets-up-drive-thru-covid-testing/
McLeod Regional Medical Center of Pee Dee|555 East Cheves St.|Florence||||Appointment Only|https://www.thestate.com/news/coronavirus/article241460936.html
Prisma Health Greenville Memorial Hospital|701 Grove Rd.|Greenville|9 a.m to 6 p.m.|||Appointment Only|https://www.thestate.com/news/coronavirus/article241460936.html
Greenville County Emergency Management||Greenville|M-F 9-4||first responders/health care providers only||https://www.foxcarolina.com/news/greenville-has-drive-thru-collection-site-for-covid-19-tests-available-to-first-responders-healthcare/article_4db8746a-737a-11ea-b2ff-9b4020afe2a3.html
Self Regional Healthcare|1325 Spring St.|Greenwood||||Appointment Only|https://www.thestate.com/news/coronavirus/article241460936.html
MUSC Health Lancaster Medical Center|1010 Woodland Dr.|Lancaster|||||https://www.thestate.com/news/coronavirus/article241460936.html
McLeod Health Seacoast|4000 Highway 9 East|Little River||||Appointment Only|https://www.thestate.com/news/coronavirus/article241460936.html
McLeod Health|3655 Mitchell St.|Loris||||Appointment Only|https://www.thestate.com/news/coronavirus/article241460936.html
Roper St. Francis Transitions Clinic| 5133 Rivers Ave.|North Charleston|M-F 8:30 a.m. to 5 p.m.|||Appointment Only|https://www.live5news.com/2020/03/16/roper-st-francis-providing-drive-through-service-patients-suspected-having-covid-/
Prisma Health Tuomey Hospital|129 N Washington St.|Sumter|MF 9 a.m. to 5 p.m.||||https://www.foxcarolina.com/coronavirus/prisma-health-offers-drive-thru-covid--testing-for-people/article_bb6e5794-670f-11ea-9a99-1ba4e3dcc875.html
Kershaw County Mental Health Clinic|2611 Liberty Hill Road|Camden|||||https://www.wistv.com/2020/03/20/kershaw-county-leaders-announce-drive-thru-testing-combat-coronavirus-outbreak/
Colonial Health Care,|325 Broad St|Sumter||||No appointment necessary|https://www.thestate.com/news/coronavirus/article241460936.html
Union Medical Center|322 W South St|Union|M-F 9 a.m. to 4 p.m.||||
Cherokee Medical Center|1530 N Limestone St|Gaffney|M-F 9 a.m. to 4 p.m.||||
USC Upstate|305 North Campus Blvd|Spartanburg|M-F 9 a.m. to 4 p.m.||||
Mcleod Health Cheraw|711 Chesterfield Hwy,|Cheraw|||||https://www.mcleodhealth.org/services/care/telehealth/
Monument Health|2116 Jackson Boulevard|Rapid City|7 a.m. to 7 p.m.|1-800-279-1466|flu like symptoms, recently traveled, exposed to someone with a confirmed case|Need referral|https://www.newscenter1.tv/monument-health-adding-drive-through-testing-for-coronavirus/
Sanford Health|N/A|Sioux Falls||||Need referral|https://news.sanfordhealth.org/coronavirus-disease-2019-covid-19/sf-bemidji-mobile-testing/
East Tennessee Medical Group|266 Joule Street|Alcoa|8 a.m. to 5 p.m.||temp over 100.4, cough or shortness of breath||https://www.wvlt.tv/content/news/Coronavirus-drive-thru-testing-available-in-Blount-County-568897061.html
Nissan Stadium|1 Titans Way|Nashville|MWF 9- 3|615-862-7777||need phone screening|https://www.wkrn.com/community/health/coronavirus/covid-19-assessment-centers-open-across-nashville/
Meharry Medical College|1005 Dr DB Todd Jr Blvd|Nashville|MWF 9- 3 |615-862-7777||need phone screening|https://www.tennessean.com/story/news/health/2020/03/27/nashville-and-meharry-coronavirus-testing-centers-open-next-week/2926480001/
K-Mart parking lot|2491 Murfreesboro Pike|Nashville|MWF 9- 3|615-862-7777||need phone screening|https://www.tennessean.com/story/news/health/2020/03/27/nashville-and-meharry-coronavirus-testing-centers-open-next-week/2926480001/
Laboratory Service Center and Physician Services in Cleveland|2650 Executive Park NW, Suite 5|Cleveland|SS 8 a.m. to 6 p.m. MF 8:30 am - 5pm|||$200, free for first responders|https://docs.google.com/forms/d/e/1FAIpQLSd-rjftzLBmCasNorsXdaEPzoavLTf3nYFHkI59_mjae7b8NA/viewform
Tiger Lane|450 Early Maxwell Blvd|Memphis||901-203-5526|text covid to the number||
Zoo Knoxville|3500 Knoxville Zoo Drive|Knoxville|10 a.m. to 5:30 p.m.||||https://www.knoxnews.com/story/news/local/2020/04/03/knoxville-offers-drive-thru-coronavirus-testing-zoo-supply-drive/2941150001/
Neighborhood Medical Center|5917 Belt Line Rd|Dallas|daily|972.726.6464|flu and strep screen||https://www.neighborhoodmedicalcenter.com/
Omni Medical|McDermott Rd|Plano|M-F|972-668-6868|call for screening||omnimedicalcenter.com
Omni Medical|3413 Spectrum Blvd Suite #100|Richardson|M-F|972-668-6868|call for screening||omnimedicalcenter.com
Ellis Davis Field House| 9191 S Polk|Dallas|||||https://www.wfaa.com/article/news/health/coronavirus/dallas-county-begins-drive-thru-testing-for-coronavirus-this-weekend/287-2ea30634-ac39-4d71-8824-7b854c3e0768
|12300 Ford Road Suite 135|Farmers Branch|||||
Neighborhood Medical Center|5917 Belt Line Rd|Dallas|||||https://www.neighborhoodmedicalcenter.com/
AllMedPhysicians|1760 FM 967|Buda|||www.AllMedPhysicians.com Sign in to Patient Portal to request an appointment for test||
||El Paso|7-5 m-sa|915-212-0783|symptomatic and 65+ or high risk |Photo ID|https://www.ktsm.com/coronavirus-2/el-paso-opens-covid-19-drive-thru-screening-for-more-people/
Clinicas Mi Doctor - Lewisville|701 S Stemmons Fwy|Lewisville||1-888-776-5252|||
MD Kids Pediatrics - Harrisburg|6812 Harrisburg Blvd|Houston||1-888-776-5252|||
Clinicas Mi Doctor|10058 Long Point Rd|Houston||1-888-776-5252|||
American Airlines Center|2500 Victory Blvd|Dallas|8-8||senior age with high temp||https://www.wfaa.com/article/news/health/coronavirus/dallas-county-begins-drive-thru-testing-for-coronavirus-this-weekend/287-2ea30634-ac39-4d71-8824-7b854c3e0768
Ellis Davis Field House|9191 S. Polk S|Dallas|||||https://www.dshs.state.tx.us/coronavirus/testing.aspx#dallas
Clinicas Mi Doctor - Seminary location|4200 South Fwy. #106|Forth Worth||1-888-776-5252|||
MD Kids Pediatrics - West Plano|7800 Preston Rd. #300|Plano||1-888-776-5252|||
MD Family Clinic - Bruton|9709 Bruton Rd|Dallas||1-888-776-5252|||
MD Family Clinic - Irving Heights|1111 S Irving Heights Dr|Irving||1-888-776-5252|||
Austin / Travis County Public Health||Austin||||High Priority Cases|
MD Family Clinic - Marsh|9991 Marsh Ln. #100|Dallas||1-888-776-5252|||
MD Kids Pediatrics - Saner|3201 W. Saner Ave.|Dallas||1-888-776-5252|||
Parkland Health and Hospital System|5200 Harry Hines Blvd|Dallas|||||
Baylor Scott & White|425 University Blvd|Round Rock||||Appt only|https://www.bswhealth.com/Pages/coronavirus-information.aspx
Baylor Scott & White|5251 W. US Hwy 290|Austin||||Appt only|https://www.bswhealth.com/Pages/coronavirus-information.aspx
Toney Berger Activity Center|3200 Jones Rd|Austin|8 a.m. to 8 p.m.|||Appt only|https://myremedy.com/remedy-opens-drive-through-testing-open-air-clinic-in-south-austin/
Home Depot |7211 N. IH35 Frontage Road|Austin|||||
My Family Doctor Clinic|6430 Hillcroft Ave|Houston|9 a.m. to 4 p.m.||||https://www.covid19drivethru.com/
Butler Stadium|13755 S. Main St.|Houston||832-393-4220|||
United Memorial Medical Center|510 West Tidwell|Houston|8:00 AM - 8:00 PM||||
Austin / Travis County Public Health||Austin||||High Priority Cases|
Christus Spohn Memorial|2606 Hospital Blvd|Corpus Christi||361-826-7200|appt - call for screening||https://www.caller.com/story/news/local/2020/03/19/drive-thru-coronavirus-testing-starts-corpus-christi/2872017001/#
Texas Tech University Health Sciences Center|3401 SE 10th Ave|Amarillo|9 a.m. to 3 p.m., M - F|806-378-6300|||https://www.amarillo.gov/Home/Components/News/News/902/16
UMC Health System|602 Indiana Avenue|Lubbock||806-761-0111|||
Harmony Clinics|4412 Kell Blvd|Wichita Falls||940-233-1822|||https://www.harmonywf.com/
Angelo State University, Foster Field|2601 W Ave N|San Angelo|M - F 9 am to 5 pm|325-481-2050|||https://www.shannonhealth.com/education-and-resources/covid-19-information/
Baylor Scott & White Medical Center|2401 S 31st St.|Temple|||||https://www.bswhealth.com/Pages/coronavirus-information.aspx
Neighborhood Medical Center Clinic|5917 Belt Line Rd.|Dallas||972-275-6910|||https://www.neighborhoodmedicalcenter.com/
Urgentology Care in Dallas|4130 N. Collins St.|Arlington|||||https://www.urgentologycare.com/services/covid-19-testing-and-screening/
Sinai Urgent Care|211 E FM 544|Murphy||972-200-3199|||
Austin Emergency Center South Lamar|4014 South Lamar Blvd|Austin||512-774-5780|||https://austiner.com/
Geneus|5726 West Hausman Road, Suite 112|San Antonio||844-800-2334|||https://www.geneushealth.com/contact-us
Gustafson Stadium|7001 Culebra Rd.|San Antonio|||||
Freeman Coliseum|3201 E Houston St.|San Antonio|||||
South Texas Medical Center|8431 Fredericksburg Rd.|San Antonio|||||https://southtexasmed.com/
Farmington Health Center|165 N. University Ave|Farmington|MF 8 -6 SS 10- 3 |801-587-0712 |coronavirus symptoms|need referral|https://healthcare.utah.edu/publicaffairs/news/2020/03/covid19-evaluations.php
Provo Town Centre Mall|1200 Towne Centre Blvd|Provo|||||https://www.heraldextra.com/news/local/covid-19-testing-capacity-increases-in-utah-county/collection_e5c3ed6e-d6e8-56d8-ac8c-7f327ea672d3.html#1
Redwood Health Center|1525 2100 South|Salt Lake City|MF 8 -6 SS 10- 3 |801-587-0712 |coronavirus symptoms|need referral|https://healthcare.utah.edu/publicaffairs/news/2020/03/covid19-evaluations.php
South Jordan Health Center|5126 W. Daybreak Pkwy|South Jordan|MF 8 -6 SS 10- 3 |801-587-0712 |coronavirus symptoms|need referral|https://healthcare.utah.edu/publicaffairs/news/2020/03/covid19-evaluations.php
Sugar House Health Center|1280 E. Stringham Ave|Salt Lake City|MF 8 -6 SS 10- 3|801-587-0712 |coronavirus symptoms|need referral|https://healthcare.utah.edu/publicaffairs/news/2020/03/covid19-evaluations.php
Timpanogos Regional Hospital||Orem|||get assessed here http://testutah.com||https://www.heraldextra.com/news/local/covid-19-testing-capacity-increases-in-utah-county/collection_e5c3ed6e-d6e8-56d8-ac8c-7f327ea672d3.html#1
Heber Valley InstaCare|1485 South Hwy 40|Heber||844-442-5224|call ahead||https://hebervalleylife.com/covid-19-testing-increased-in-wasatch-back/
Park City InstaCare|1750 Sidewinder Drive|Park City||844-442-5224|call ahead||https://hebervalleylife.com/covid-19-testing-increased-in-wasatch-back/
Park City Ice Arena|600 Gilmore Way|Park City|M-F 9-6; S-S 12-6||||https://hebervalleylife.com/covid-19-testing-increased-in-wasatch-back/
